albert_einstein,-2.480522,-1.91355,0.4266494,1.927253,-0.5318278,-3.722191,-2.443666,-2.573239,1.14749,-0.7489569,0.7215732,0.549773,-0.1674758,0.7168648,0.2276137,1.100518,1.426049,1.164856,-0.1139941,-2.09542,0.470845,-0.2071389,-2.631837,-0.2735312,-0.7836354,-1.809783,-0.5187089,0.3854217,1.352961,-1.427177,-0.4679772,-0.03622963,-0.2827692,-1.545969,0.06993935,-2.365085,-2.219223,0.8763958,-0.2691869,0.08764504,1.402155,1.111099,0.2352814,-2.030311,-2.87185,-0.2608736,0.4130515,-1.335252,-2.41588,0.7447989,1.225134,0.8142072,-1.243086,-1.117227,1.73206,0.8824275,-0.04899488,-1.147089,-0.6478946,0.3469547,-0.8424527,-0.7824975,-0.3934681,-0.5525455,-0.1769769,-0.5516168,1.262017,1.663201,-0.9758389,1.382168,0.5195603,-0.9666243,0.5748304,-0.1608328,1.396449,-0.7514989,2.085094,0.2602708,0.7187799,0.623447,-1.226786,0.2484276,-0.06026777,0.4758621,0.2731112,0.3612845,0.6252441,-0.09359008,-0.3677802,0.03052817,-0.2184774,-1.472703,-1.541719,-0.3231976,-0.07329037,-1.189303,-0.9882044,-0.6792423,-2.221413,0.6322396,-1.721734,-0.07822291,1.905402,0.9811535,-0.03635406,-1.620277,0.6083769,0.8780738,-0.8381074,-2.10235,-2.078165,0.2696427,2.610544,0.3635176,-0.2095874,-0.003530055,-0.9964532,0.3385712,-0.4740682,0.4616756,-1.102141,-1.022701,0.8015016,1.139382,1.88665,0.5116007,0.8611832,1.701218
audi,-0.8185719,-1.691721,-0.3929027,1.698154,-2.953124,0.9475167,-1.677006,-0.3306985,-1.640118,2.112008,-0.2304625,0.2679517,-1.253523,-0.1527153,2.535831,-1.20761,-1.546264,-1.03501,-1.328332,1.939407,0.9575472,-0.542413,-2.568222,-1.250873,2.156364,1.018373,0.01943369,-0.07834961,0.1388019,0.04008076,1.57253,-0.276492,-1.808867,-0.9136654,1.248377,-0.4179784,0.1655065,2.474551,-0.7014511,-1.701247,0.183801,-1.583622,0.3736905,-1.11015,-0.1260202,1.2159,1.880467,-1.727652,-1.208916,2.451057,-1.669302,0.5557461,1.738699,-0.9030058,-2.823511,1.799065,-0.912525,2.696101,2.841653,2.646387,2.21891,-0.3350063,-1.625285,1.276497,1.08622,1.629722,0.06807686,0.4633631,-0.5863839,3.142072,-0.5369592,-0.2761013,-1.343383,0.7716243,-0.4056517,-0.7249695,-4.228064,-2.626073,-2.080997,-0.2238497,0.9760979,-1.057509,-0.3983883,1.613052,0.3108207,0.3196678,1.425117,-1.297113,-0.2546621,-0.9165995,-1.946472,0.5934322,0.5437291,1.335214,1.993269,0.6800859,-0.3676515,1.630858,0.4362699,1.2644,0.5729238,0.7737508,0.1391094,1.470518,-0.3241818,1.369674,-1.904284,0.6663024,2.549172,0.6655909,-0.1108501,0.723474,-2.135729,-2.841002,-1.669646,-0.600029,-1.135236,-1.322427,2.031211,0.1141323,0.02877108,1.823382,-0.1223729,-0.1835298,-2.182157,0.7201909,1.80881,0.2390117
bill_gates,-1.673416,-1.601884,1.130291,2.139339,0.5832655,-2.355634,-3.61916,-1.308936,-0.1839776,-2.178063,0.2664399,0.7721,0.6786486,-1.343416,3.684993,-1.064312,-0.3723669,-0.5466129,1.073451,-0.06144406,-0.3150079,-0.4288399,-2.349864,1.000397,-2.028018,-0.2334665,1.941808,-0.9372822,0.4225218,1.464993,-1.134495,-2.199824,0.6512548,1.235735,-0.1470733,0.9009682,-0.755432,2.130592,0.4344771,1.233211,1.602223,0.1676596,0.6012551,-2.492593,0.4471282,1.090348,0.5520645,-1.623951,-1.713057,1.535183,-0.5315079,-0.100757,1.263324,-2.015898,-1.958267,-0.5421768,0.6011569,-0.9850774,0.3452359,1.201087,1.724644,-1.265917,-0.2133647,0.377123,0.4734676,0.1982429,1.440837,2.139014,-1.103817,1.416488,2.29251,-1.563407,-0.4841661,0.6444737,-0.3365971,0.5743442,-1.462924,-1.554924,0.8881515,1.120601,0.8857248,1.962616,0.3201677,0.6789128,-1.141146,0.9478713,0.1374979,1.688143,0.1148736,0.6230347,1.078034,-0.004554928,0.3249978,-1.658956,-0.2343214,-1.332002,-1.403949,-1.488756,0.02328823,2.76202,1.321044,-1.163114,0.3553169,1.277393,-1.895486,-1.319467,-0.6502465,0.3174974,-2.167227,0.4190389,1.284893,0.518477,2.272502,1.177496,-1.958411,-0.7142442,-2.756089,1.178817,2.762287,-0.5744849,-3.045208,-1.331753,1.071731,-0.9726718,-0.1004862,-1.311721,1.822608,-0.1711849
bmw,-1.027373,-1.668206,-1.728756,2.338698,-4.249786,0.4357562,-1.448385,-1.146264,-2.026244,2.698205,-1.349862,0.5638199,-1.220634,-0.7248527,2.960477,-1.121194,-2.367002,-1.212516,-1.145931,2.282073,0.7295365,-0.1209989,-1.260981,-1.41966,1.630784,-0.05031939,0.5595447,0.3694613,0.2006569,0.1855322,-0.3973904,1.096252,-1.323889,-0.3517248,1.021145,-1.145797,0.967109,2.28318,-0.5843394,-2.427457,0.5223087,-1.576758,-0.3851791,-0.244593,0.6557241,1.866557,1.399669,-1.662345,-2.441637,2.775931,-1.539751,0.8200404,2.711033,-1.987822,-2.444742,1.656492,0.1119881,2.214914,2.856327,1.677947,2.288305,0.3057647,-0.6027255,1.521994,1.595028,1.73798,-0.3668809,-0.1761505,-0.5254608,3.126928,-0.7835602,-1.360972,-2.11559,0.7404873,-0.3307808,-0.1836376,-3.736828,-2.452969,-1.846599,-0.03143216,1.226503,-0.3213929,-0.460542,1.115893,-1.675203,1.824875,1.644595,-1.211864,-0.4294003,-1.136409,-3.118242,1.521935,1.201529,1.244695,1.770478,-0.1016254,-0.7869878,1.615873,0.4370325,1.155679,-0.02342977,-0.505293,0.4884755,1.044199,-1.516062,1.301788,-1.643488,0.4092116,2.767136,-0.1446828,-0.1931635,-0.3604625,-2.027766,-2.447184,-2.956621,-0.3982349,-1.533462,1.016006,2.151517,-0.067678,0.4749545,1.805502,-1.832299,0.02072728,-1.597686,0.8106363,1.381524,0.02722548
cat,-0.5071716,-2.760615,-2.546596,0.9999355,-0.1860456,0.2416906,-1.213853,3.52134,-0.4856328,-3.600311,-0.3765034,0.5309258,0.2174483,-0.475197,0.5840662,-0.3676432,0.1117046,-1.58532,3.21164,-1.345617,-2.908462,-0.9823173,1.787878,0.686559,1.031891,0.7404338,-1.6689,-1.651608,-1.332171,1.063373,-0.4323359,1.351272,0.3051581,-0.112216,2.511481,-2.529051,-0.210932,0.8882697,1.198742,-1.728271,1.114813,1.180044,1.00869,-0.916891,0.1154072,-0.1443976,0.2784445,0.9894153,1.113384,0.3850076,-0.8061401,-0.3019766,1.248478,-0.6239145,0.2412944,1.322444,-1.550491,0.45382,-0.550275,-1.183752,1.082746,-0.0403608,1.337573,-0.7580853,-0.4029211,0.9093226,1.166312,-1.203768,-1.549134,0.04332339,0.7584699,0.331509,0.5279459,-1.908827,1.176181,1.71895,1.473271,0.7048212,-0.2029437,2.243338,0.8497677,-2.491301,-1.555866,0.3999112,-1.575226,0.5980036,2.007164,1.722466,-1.771094,-0.08129655,0.9771069,0.8002203,1.549162,1.157074,0.1296159,-1.227646,2.874177,0.4693489,-1.689825,0.1400985,2.604847,-0.8893509,0.01580584,-0.9262388,1.234183,-1.022672,-1.728814,-0.3798899,-0.8275294,-0.3439738,1.006182,2.116889,0.826551,-0.8354017,-1.319091,-0.069979,1.259125,-0.02479043,-1.465965,-0.05168933,-0.2489554,2.253829,2.199688,1.06398,-1.169045,1.34402,0.8623168,-0.7026386
climb,0.7150535,0.1190424,1.583062,-0.3858005,-3.991093,1.382508,1.298601,3.250082,0.8164797,0.1756085,0.2784765,1.701334,1.554857,2.149777,-0.8867341,3.194131,-1.241221,-3.20179,-1.280757,-0.1483848,-0.7124661,1.957565,-0.3455618,1.137026,0.09317189,1.557985,1.440683,-0.9214395,-1.409748,0.9632689,0.3797266,1.653356,2.779466,-3.037955,1.840086,2.399481,-0.6692263,1.571306,-0.8761698,-0.1448303,0.6803401,1.160436,-3.089269,-1.539647,0.5664386,0.9650382,3.638589,-0.4465556,-0.5838804,1.669791,0.958451,-3.739784,2.425748,-0.4702423,1.334079,-1.287125,-1.014615,0.9847365,-0.7165514,2.364875,-4.383248,-0.6555417,1.655098,3.059033,-3.54821,-1.223253,2.367514,-1.616938,-0.4230957,0.5828797,3.37003,-1.059325,2.100939,-3.848651,-0.3448471,0.6512786,-3.024266,-2.074391,-1.156262,-0.2958942,1.956846,0.9683309,-0.8173978,-3.352736,0.4399029,-0.489152,0.5054775,0.1821013,-3.075192,-1.176421,1.190326,5.820447,2.096738,-0.3436916,-0.5473796,-0.8932349,-3.110463,-0.9460133,-1.93838,2.606455,-1.129273,1.733868,1.328004,2.384475,-1.600286,-2.528778,-2.699714,-0.8917037,0.3884859,0.808012,2.633542,0.2035181,-2.012629,-1.174713,0.3055481,0.4037732,-1.971458,0.7025646,-3.011815,-4.6939,3.594466,-2.808905,-0.8855264,1.575717,-1.718187,-0.139667,-0.4973423,-4.421882
dog,-0.4773144,-2.224563,-3.67255,0.5424166,0.6331441,1.222993,-2.802592,4.02167,-0.4713437,-4.582365,0.3311426,0.5236261,0.6147186,-0.2780473,0.1345277,-1.083139,-0.1782574,-1.975166,2.480015,-0.3664371,-2.597256,-1.391127,2.043813,0.8363474,0.1514876,1.442585,-0.6480914,-0.6818624,-0.1431549,-1.323516,-1.264562,2.690893,-0.4479078,-1.000084,2.926034,-1.987055,-0.7973229,-0.1468254,0.7669686,-1.729087,0.6947196,1.251002,0.4672114,-1.323996,-1.078033,0.3637808,0.866797,1.166944,1.703378,0.2705621,-0.006041634,-1.448175,1.878448,-1.036679,0.04259866,1.270578,-1.165395,0.8191983,-0.5970969,-0.777535,1.110604,2.020849,0.8731386,-0.6029407,-0.120905,-0.7333572,-0.005233169,-2.097614,-1.465506,-0.9609035,1.560039,1.20756,1.109539,-1.252048,0.8228651,1.933192,0.6178625,1.224784,-0.007379322,1.106181,1.167394,-3.108417,-2.504087,0.8519228,-3.044212,-0.5462375,1.969887,1.064963,-2.250071,0.3688263,-0.5509419,1.067953,-0.1151882,0.7404019,-1.186245,-1.245763,2.010508,0.7115395,-2.634201,-0.7665212,2.036411,-0.9245445,1.799508,-1.353824,0.9045559,0.1012518,-2.553531,-0.6793802,-0.46792,-0.6473397,0.981954,1.985521,0.573478,-1.323287,-0.2550662,-0.0745683,-1.218101,0.9576151,-0.9590299,1.004789,-0.7114252,2.560086,2.09645,0.6421829,-1.660898,0.8641127,0.8837754,-0.5089392
hotel,0.3524887,-4.38588,1.197459,2.595855,-0.3414235,-0.4427964,1.44799,-0.05167188,-3.324748,-1.259146,1.016891,0.2325058,0.9214244,0.2824171,0.357489,-3.309412,1.257879,-1.741431,0.8581849,-0.8783143,0.5330449,-1.255708,-1.452981,-2.29085,-0.2414727,-0.4437906,-0.3038095,-1.665872,-3.562591,1.746285,1.662243,1.677324,1.218257,2.307787,-2.866822,3.930394,-1.856897,0.687388,-0.5844392,-1.30824,1.464938,3.461437,-1.388683,1.567303,3.684259,3.114088,-0.7880402,-0.0653142,-0.1873313,-1.025209,-1.58503,-0.08663847,0.026481,-4.125136,-1.240793,3.61367,1.114203,1.70565,-1.350579,-1.043699,0.6052884,0.2597989,-4.928183,0.4493584,-0.7183669,1.490507,-1.554897,-0.5980036,-0.6669048,4.500868,-1.237025,-1.385692,3.170204,-1.007968,1.900924,2.769534,-0.7456614,2.300939,-1.463715,-0.4160401,-0.3054832,0.08953154,-0.4241095,-2.147,1.644755,-0.2862843,2.682777,-1.463148,2.390993,1.87804,-0.5480867,1.669191,-2.349298,-0.8678405,1.167432,0.6071746,2.430448,-1.609465,-1.978439,-0.3334183,1.752461,-0.9143199,1.177134,-0.3011481,-1.181089,1.148477,-1.945867,-1.048406,-2.051059,-0.9829615,3.113394,1.998337,2.048138,0.6128942,-0.0823886,-0.2320693,0.6350535,-0.68768,-1.741433,-2.666096,2.233255,-1.531844,1.331667,1.436779,-0.4049204,0.6698899,0.4421743,-0.6106767
house,0.5532117,-2.279454,-0.2512704,0.4140477,2.676775,0.05087801,-1.84245,0.2444503,-3.042415,-2.499023,0.00052897,0.5449739,1.130605,-1.329754,2.901994,-3.101403,2.242034,-0.08608235,1.089481,1.09102,-0.9905403,-1.684329,0.06747968,-2.508088,-0.3124235,0.3343206,2.322009,-0.5943272,0.1218718,1.021239,0.4993719,1.710243,0.5330225,-0.4346876,-2.207156,-0.2019788,-0.4650238,-1.593837,-1.785627,0.2667269,0.1154628,3.992801,-0.8682748,2.541098,0.8182191,1.336003,2.056019,-0.4579768,-0.4599775,-0.5295122,-0.6500919,-1.181195,0.7156374,-3.246033,-1.680932,0.9129162,0.6065586,2.276911,0.0249695,-0.1670446,1.888527,1.964685,-2.491099,-0.1159797,-3.068212,-1.124835,-0.2360963,-0.3091896,1.253352,0.4380499,-0.7490695,-1.002058,0.2389658,0.5211757,2.235323,1.055637,-1.099914,-0.1578742,0.4279709,1.125934,0.4378164,-3.47209,-0.7840958,-0.05563189,2.819168,-2.446913,2.689552,-2.175606,3.63045,0.3424228,-0.2943876,2.639555,-0.01875171,-4.23928,-1.089074,-0.887115,2.587504,0.04337629,-0.876479,-3.323407,2.493462,2.703407,1.128692,0.6574906,0.5002101,-0.8414908,0.457731,0.05349855,-0.07458744,0.3426284,1.885066,2.07019,2.012248,-2.318308,1.216034,-0.1858315,0.8930264,2.174424,-3.535857,-2.333215,-0.3736873,-1.022999,1.035215,2.763406,0.227823,0.5842907,0.6003102,0.7526778
monkey,-0.623855,-3.508944,-0.931955,-0.4193407,-0.9044554,0.347873,-2.677609,3.564083,-0.6501178,-3.635903,-0.4661543,0.7323024,-0.1258763,0.7362834,-1.588867,0.3649873,0.1890789,-1.080042,2.966721,-2.24461,-1.774223,-0.8126448,1.668875,0.05201012,1.03396,1.247696,-1.11791,-1.346695,-0.6238322,1.785332,-0.3694901,1.185856,0.50238,0.6482384,2.343688,-1.802481,0.271949,1.472717,1.21427,-1.015378,1.703118,0.3374676,-0.5304098,-1.132005,-0.3392837,1.565773,0.33371,0.7325505,0.5993909,0.03790196,-0.9439896,-0.4753403,-1.35056,-2.063326,1.000986,-0.17963,1.438071,-0.2638526,-1.387128,-0.9382904,1.189127,-0.5576299,1.874856,-0.2689978,-1.229201,0.7635063,1.726275,0.6627386,-1.631816,1.056421,1.289872,0.6007211,2.061805,-1.785447,1.193859,1.382887,-0.07481316,0.5763185,-0.1036313,0.4026029,-0.6965603,-1.62735,-0.5306992,0.9358264,-1.970401,0.7791036,2.804656,1.39209,-1.590059,0.7011018,1.63994,0.6209581,0.7290362,-0.03947562,-0.5082462,-0.9405873,2.554646,-0.08041233,-1.963823,0.3149208,1.622819,-1.194694,-0.170406,-0.331832,1.591899,-0.3462902,-1.116988,0.2657121,-1.065575,-0.5695269,-0.751206,0.5533128,0.6958334,-0.8095873,-0.8173937,-0.05858624,1.707343,0.7204315,-0.3483413,0.6875883,-1.507234,2.032144,2.440851,-0.2809028,-2.004403,0.3861419,1.176491,-1.082316
